rain,tmax,tmin,srad,lon,lat,AWC,SBDM_mean,SLOC_mean,SLCL_mean,SLSI_mean,SLHW_mean,SCEC_mean,rain_more_50,maxt_sum2,irrigation,zone,scenario
385,292.95,280.04999999999995,20.0,101.95,36.816667,141.0,1.22333333333333,2.89,23.0433333333333,43.7133333333333,7.17,19.9333333333333,0,0.0,rainfed,7,T-10%
101,298.95,283.75,22.3,89.566667,44.016667,149.00000000000003,1.40333333333333,1.31,19.0166666666667,49.2733333333333,7.95666666666667,17.4,0,0.0,irrigated,9,T+5%
1138,291.95,282.84999999999997,13.9,115.766667,33.866667,141.33333333333297,1.38333333333333,1.45,24.47,43.2466666666667,7.23666666666667,18.5333333333333,0,0.0,irrigated,4,T-10%
398,288.65,278.45,12.0,114.4,33.75,153.66666666666598,1.44333333333333,1.58,28.6666666666667,48.5333333333333,7.36,21.4666666666667,0,0.0,irrigated,4,T+5%
231,288.15,276.75,12.7,111.033333,34.05,147.666666666667,1.35333333333333,1.51333333333333,26.2633333333333,45.7966666666667,7.29,16.7666666666667,0,0.0,irrigated,4,T0
214,289.25,278.65,12.0,115.066667,33.4,148.333333333334,1.44333333333333,1.59,27.4733333333333,45.8866666666667,7.07333333333333,20.3333333333333,0,0.0,irrigated,4,T0
172,290.95,282.15,9.9,103.816667,30.083333,129.99999999999997,1.33333333333333,0.686666666666667,26.4966666666667,35.9066666666667,6.14666666666667,13.6,0,0.0,rainfed,6,T-5%
56,299.04999999999995,286.65,23.7,108.65,40.733333,117.99999999999972,1.38333333333333,0.356666666666667,15.22,36.7833333333333,7.36333333333333,15.2666666666667,0,0.0,irrigated,2,T-5%
403,289.65,281.84999999999997,10.7,107.8,30.683333,137.99999999999997,1.37333333333333,0.866666666666667,28.3233333333333,39.38,6.27333333333333,13.4,0,0.0,rainfed,6,T+5%
404,289.34999999999997,282.15,9.6,107.883333,27.233333,130.00000000000003,1.35333333333333,1.41,26.9466666666667,35.66,5.74333333333333,13.5333333333333,0,0.0,rainfed,6,T0
274,300.95,288.34999999999997,22.7,115.5,40.4,152.666666666667,1.22333333333333,2.85666666666667,21.52,50.08,7.30333333333333,20.7666666666667,0,0.0,rainfed,2,T+10%
97,298.04999999999995,285.04999999999995,20.6,111.15,40.683333,126.66666666666698,1.32,1.21,19.6566666666667,38.1533333333333,7.3,17.3333333333333,0,0.0,irrigated,2,T+5%
191,286.95,275.34999999999997,13.7,120.733333,36.966667,139.666666666666,1.45333333333333,1.14666666666667,23.66,42.5833333333333,6.83333333333333,19.0666666666667,0,0.0,irrigated,4,T+10%
