rain,tmax,srad,lon,lat,AWC,SBDM_mean,SLOC_mean,SLCL_mean,SLSI_mean,SLHW_mean,maxt1,rain1,srad1,maxt2,rain2,srad2,zone,scenario
243,287.84999999999997,13.1,117.15,34.283333,137.00000000000003,1.43333333333333,1.1,23.36,41.3733333333333,6.83,12.507486631016,143.5,2169.0,25.1078431372549,113.9,997.2,4,T-10%
112,290.04999999999995,9.6,104.55,30.383333,130.0,1.45333333333333,0.953333333333333,22.9133333333333,38.16,6.55666666666667,13.8577777777778,41.4,946.5,23.3934782608696,65.4,678.7,6,T-5%
262,289.54999999999995,12.9,112.633333,35.083333,129.0,1.54333333333333,1.26333333333333,21.9066666666667,37.8766666666667,6.83666666666667,14.0066666666667,174.2,2119.0,30.5075,87.4,935.6,4,T+10%
241,288.15,10.6,112.85,32.683333,155.00000000000003,1.54,1.01333333333333,25.51,50.02,6.9,12.6338983050847,166.0,1688.0,25.6571428571429,74.7,658.1,4,T+5%
142,282.95,12.3,84.666667,44.433333,150.99999999999997,1.36666666666667,0.876666666666667,18.4266666666667,50.5166666666667,7.96333333333333,7.03719008264463,114.2,2560.6,30.5083333333333,57.7,1096.2,9,T+10%
252,287.65,12.9,110.716667,34.7,127.33333333333296,1.44333333333333,1.58,21.9333333333333,37.09,6.96,11.5684782608696,158.2,2053.0,25.41875,93.5,951.0,4,T+5%
124,288.04999999999995,10.9,114.35,35.933333,131.66666666666703,1.54333333333333,1.25666666666667,22.3033333333333,39.3533333333333,6.97,12.9831683168317,76.3,1950.1,27.95,47.5,713.7,4,T-5%
231,286.95,13.5,107.383333,34.516667,140.66666666666703,1.34666666666667,1.12333333333333,23.7066666666667,42.93,7.39,10.8311557788945,171.7,2279.8,25.388,59.0,1054.1,4,T+5%
248,288.04999999999995,12.8,108.216667,34.25,140.0,1.38333333333333,0.66,22.01,43.4866666666667,7.61666666666667,13.2029850746269,135.9,2399.0,26.8638888888889,32.4,698.6,4,T-5%
202,287.95,12.0,111.5,36.066667,126.66666666666602,1.45333333333333,1.50666666666667,21.2133333333333,37.04,6.94666666666667,13.2830917874396,145.4,2292.3,27.2232558139535,74.6,793.8,4,T-5%
151,285.54999999999995,13.8,115.55,38.0,132.66666666666703,1.37333333333333,1.47333333333333,22.6733333333333,39.54,7.18333333333333,9.81442307692308,90.4,2633.9,28.3555555555556,61.9,732.4,4,T-5%
367,288.75,13.5,116.983333,33.633333,138.33333333333397,1.49333333333333,1.67,29.4333333333333,40.3766666666667,7.37,12.7,318.3,1960.7,27.4488372093023,50.0,977.8,4,T+10%
326,287.84999999999997,15.2,109.966667,33.866667,137.99999999999997,1.37333333333333,2.35333333333333,23.92,41.68,6.96666666666667,12.1961538461538,178.9,2409.3,24.916,148.0,1086.8,6,T-10%
85,298.04999999999995,21.9,106.25,38.25,131.99999999999997,1.26666666666667,0.933333333333333,21.2,39.9666666666667,7.06666666666667,21.43125,31.6,1629.0,29.9666666666667,58.9,1153.0,7,T-10%
266,297.54999999999995,22.5,122.266667,43.6,126.33333333333302,1.40333333333333,1.14333333333333,17.4066666666667,39.26,7.45666666666667,21.9901408450704,98.3,1540.4,28.32,178.7,824.3,1,T-5%
